player_id,player_name,position,age,nationality,height,foot,contract,market_value,club_id
502676,Giorgi Mamardashvili,Goalkeeper,24,Georgia,"1,97m",left,"Jun 30, 2025",€45.00m,1049
165467,Stole Dimitrievski,Goalkeeper,30,"North Macedonia, Spain","1,88m",right,"Jun 30, 2026",€4.00m,1049
227805,Jaume Doménech,Goalkeeper,33,Spain,"1,85m",right,"Jun 30, 2025",€800k,1049
646750,Cristhian Mosquera,Centre-Back,20,"Spain, Colombia","1,91m",right,"Jun 30, 2026",€30.00m,1049
895334,Yarek Gasiorowski,Centre-Back,19,"Spain, Poland","1,92m",left,"Jun 30, 2025",€15.00m,1049
369267,Maximiliano Caufriez,Centre-Back,27,Belgium,"1,89m",right,"Jun 30, 2025",€2.50m,1049
346289,Mouctar Diakhaby,Centre-Back,27,"Guinea, France","1,92m",right,"Jun 30, 2027",€2.00m,1049
707274,César Tárrega,Centre-Back,22,Spain,"1,94m",right,"Jun 30, 2028",€1.50m,1049
221322,José Gayà,Left-Back,29,Spain,"1,72m",left,"Jun 30, 2027",€25.00m,1049
623024,Jesús Vázquez,Left-Back,21,Spain,"1,82m",left,"Jun 30, 2026",€3.00m,1049
367466,Thierry Correia,Right-Back,25,"Portugal, Cape Verde","1,76m",right,"Jun 30, 2026",€6.00m,1049
170472,Dimitri Foulquier,Right-Back,31,"Guadeloupe, France","1,83m",right,"Jun 30, 2025",€2.50m,1049
328480,Pepelu,Defensive Midfield,26,Spain,"1,86m",right,"Jun 30, 2028",€22.00m,1049
495629,Hugo Guillamón,Defensive Midfield,24,Spain,"1,78m",right,"Jun 30, 2026",€8.00m,1049
671915,Enzo Barrenechea,Defensive Midfield,23,Argentina,"1,86m",right,"Jun 30, 2025",€7.50m,1049
834764,Javi Guerra,Central Midfield,21,Spain,"1,87m",right,"Jun 30, 2027",€20.00m,1049
375382,André Almeida,Attacking Midfield,24,Portugal,"1,76m",right,"Jun 30, 2028",€15.00m,1049
278837,Luis Rioja,Left Winger,30,Spain,"1,76m",left,"Jun 30, 2026",€4.00m,1049
