club_id,club_name,competition_name,competition_id,season_id
418,Real Madrid,LaLiga,ES1,2024
131,FC Barcelona,LaLiga,ES1,2024
13,Atlético de Madrid,LaLiga,ES1,2024
681,Real Sociedad,LaLiga,ES1,2024
621,Athletic Bilbao,LaLiga,ES1,2024
1049,Valencia CF,LaLiga,ES1,2024
12321,Girona FC,LaLiga,ES1,2024
1050,Villarreal CF,LaLiga,ES1,2024
150,Real Betis Balompié,LaLiga,ES1,2024
368,Sevilla FC,LaLiga,ES1,2024
472,UD Las Palmas,LaLiga,ES1,2024
331,CA Osasuna,LaLiga,ES1,2024
237,RCD Mallorca,LaLiga,ES1,2024
1108,Deportivo Alavés,LaLiga,ES1,2024
940,Celta de Vigo,LaLiga,ES1,2024
367,Rayo Vallecano,LaLiga,ES1,2024
714,RCD Espanyol Barcelona,LaLiga,ES1,2024
3709,Getafe CF,LaLiga,ES1,2024
1244,CD Leganés,LaLiga,ES1,2024
366,Real Valladolid CF,LaLiga,ES1,2024
281,Manchester City,Premier League,GB1,2024
11,Arsenal FC,Premier League,GB1,2024
631,Chelsea FC,Premier League,GB1,2024
31,Liverpool FC,Premier League,GB1,2024
985,Manchester United,Premier League,GB1,2024
148,Tottenham Hotspur,Premier League,GB1,2024
762,Newcastle United,Premier League,GB1,2024
405,Aston Villa,Premier League,GB1,2024
1237,Brighton & Hove Albion,Premier League,GB1,2024
379,West Ham United,Premier League,GB1,2024
873,Crystal Palace,Premier League,GB1,2024
703,Nottingham Forest,Premier League,GB1,2024
1148,Brentford FC,Premier League,GB1,2024
543,Wolverhampton Wanderers,Premier League,GB1,2024
989,AFC Bournemouth,Premier League,GB1,2024
29,Everton FC,Premier League,GB1,2024
931,Fulham FC,Premier League,GB1,2024
180,Southampton FC,Premier League,GB1,2024
1003,Leicester City,Premier League,GB1,2024
677,Ipswich Town,Premier League,GB1,2024
